relative_path,split,label,label_id,kind,source_relative_path,source_name,source_group,visual_group,online_augment,sha256,source_sha256,width,height
train/organic/organic_train_existing_aug_001.jpg,train,organic,2,existing_augmentation,train/organic/organic_008__aug_v2_01.jpg,organic_008__aug_v2_01,organic/organic_008,lime_legacy,False,e366a472fcb65241015233e2c09e79be7e163ac8ffd8fb5d4bbf72a42bd90c59,e366a472fcb65241015233e2c09e79be7e163ac8ffd8fb5d4bbf72a42bd90c59,320,240
train/organic/organic_train_existing_aug_002.jpg,train,organic,2,existing_augmentation,train/organic/organic_008__aug_v2_02.jpg,organic_008__aug_v2_02,organic/organic_008,lime_legacy,False,7df4a531453a919e40fc2c796975251d125967eb708c9402c068466e589c2852,7df4a531453a919e40fc2c796975251d125967eb708c9402c068466e589c2852,320,240
train/organic/organic_train_existing_aug_003.jpg,train,organic,2,existing_augmentation,train/organic/organic_008__aug_v2_03.jpg,organic_008__aug_v2_03,organic/organic_008,lime_legacy,False,02a86b308926fc0b4e1335e70afe483d24e2a993a8ce9529f1bb39943953e300,02a86b308926fc0b4e1335e70afe483d24e2a993a8ce9529f1bb39943953e300,320,240
train/organic/organic_train_existing_aug_004.jpg,train,organic,2,existing_augmentation,train/organic/organic_008__aug_v2_04.jpg,organic_008__aug_v2_04,organic/organic_008,lime_legacy,False,f5aeba754be224bba27ceb2385dc316266ff3109c85fff84b9cc2121d586c940,f5aeba754be224bba27ceb2385dc316266ff3109c85fff84b9cc2121d586c940,320,240
train/organic/organic_train_existing_aug_005.jpg,train,organic,2,existing_augmentation,train/organic/organic_008__aug_v2_05.jpg,organic_008__aug_v2_05,organic/organic_008,lime_legacy,False,eac33f9bc3b0d486a0cbe9aa4e229a4252dff316cc7a5376fff1ee1768ee61e7,eac33f9bc3b0d486a0cbe9aa4e229a4252dff316cc7a5376fff1ee1768ee61e7,320,240
train/organic/organic_train_existing_aug_006.jpg,train,organic,2,existing_augmentation,train/organic/organic_008__aug_v2_06.jpg,organic_008__aug_v2_06,organic/organic_008,lime_legacy,False,b43519f18462380b3f537e5d3e7e9ee49d38d379db38bd597965abc46152ced5,b43519f18462380b3f537e5d3e7e9ee49d38d379db38bd597965abc46152ced5,320,240
train/organic/organic_train_existing_aug_007.jpg,train,organic,2,existing_augmentation,train/organic/organic_008__aug_v2_07.jpg,organic_008__aug_v2_07,organic/organic_008,lime_legacy,False,8ec55c33dc0c6a746e3de1affdfb6337e0cb4c0eefbbe2dc2dd962cbb29d1e43,8ec55c33dc0c6a746e3de1affdfb6337e0cb4c0eefbbe2dc2dd962cbb29d1e43,320,240
train/organic/organic_train_existing_aug_008.jpg,train,organic,2,existing_augmentation,train/organic/organic_008__aug_v2_08.jpg,organic_008__aug_v2_08,organic/organic_008,lime_legacy,False,9b98a878a5d25a3cf6f6e75a7c3f1ec1ba678432be23ffc9ff636c2dc3729801,9b98a878a5d25a3cf6f6e75a7c3f1ec1ba678432be23ffc9ff636c2dc3729801,320,240
train/organic/organic_train_existing_aug_009.jpg,train,organic,2,existing_augmentation,train/organic/organic_008__aug_v2_09.jpg,organic_008__aug_v2_09,organic/organic_008,lime_legacy,False,13f1b5308507a6c42d06c9c2df597c6a2cb6cddee6e9e2e43ba69984e956ffee,13f1b5308507a6c42d06c9c2df597c6a2cb6cddee6e9e2e43ba69984e956ffee,320,240
train/organic/organic_train_existing_aug_010.jpg,train,organic,2,existing_augmentation,train/organic/organic_009__aug_v2_01.jpg,organic_009__aug_v2_01,organic/organic_009,lime_legacy,False,9e568217a40d8fa22022788db68b99b40442a187dda6afa46b6b1612865209c3,9e568217a40d8fa22022788db68b99b40442a187dda6afa46b6b1612865209c3,320,240
