relative_path,split,label,label_id,source,source_relative_path,source_sha256,output_sha256,width,height,captured_at_utc,capture_session,burst_id
train/paper/esp32-cam-2026-08-01T09-20-56-169Z.jpg,train,paper,0,v7_esp32_raw,paper/esp32-cam-2026-08-01T09-20-56-169Z.jpg,ba3ec781bfa2966c327444b191460b0c6b74b95126e0068b21bdee5c5773f344,ba3ec781bfa2966c327444b191460b0c6b74b95126e0068b21bdee5c5773f344,320,240,2026-08-01T09:20:56.169000Z,2026-08-01,paper-20260801-b001
train/paper/esp32-cam-2026-08-01T09-20-57-593Z.jpg,train,paper,0,v7_esp32_raw,paper/esp32-cam-2026-08-01T09-20-57-593Z.jpg,081ad6518e7d8f7fa87b1a411a8f0d3ea7863efad9a07879bc514d2779a2530e,081ad6518e7d8f7fa87b1a411a8f0d3ea7863efad9a07879bc514d2779a2530e,320,240,2026-08-01T09:20:57.593000Z,2026-08-01,paper-20260801-b001
train/paper/esp32-cam-2026-08-01T09-20-58-823Z.jpg,train,paper,0,v7_esp32_raw,paper/esp32-cam-2026-08-01T09-20-58-823Z.jpg,60c0a08fb63c4a7b4bd02f8fd743cd41fef2474fd26c4979fa53cc0b452f353a,60c0a08fb63c4a7b4bd02f8fd743cd41fef2474fd26c4979fa53cc0b452f353a,320,240,2026-08-01T09:20:58.823000Z,2026-08-01,paper-20260801-b001
train/paper/esp32-cam-2026-08-01T09-21-08-060Z.jpg,train,paper,0,v7_esp32_raw,paper/esp32-cam-2026-08-01T09-21-08-060Z.jpg,e2834d0257298bfa33c50213ed5c46711bcfa00b56641bd4b37538d99ed65f52,e2834d0257298bfa33c50213ed5c46711bcfa00b56641bd4b37538d99ed65f52,320,240,2026-08-01T09:21:08.060000Z,2026-08-01,paper-20260801-b002
train/paper/esp32-cam-2026-08-01T09-21-17-077Z.jpg,train,paper,0,v7_esp32_raw,paper/esp32-cam-2026-08-01T09-21-17-077Z.jpg,7724d0de866c2530effd764c99d65dc64670555012e5078af1053239e624119a,7724d0de866c2530effd764c99d65dc64670555012e5078af1053239e624119a,320,240,2026-08-01T09:21:17.077000Z,2026-08-01,paper-20260801-b003
train/paper/esp32-cam-2026-08-01T09-21-24-094Z.jpg,train,paper,0,v7_esp32_raw,paper/esp32-cam-2026-08-01T09-21-24-094Z.jpg,921b863adcedb4f12c41594bbbdc88799c85a3bf95f8570cf340e553827fd8af,921b863adcedb4f12c41594bbbdc88799c85a3bf95f8570cf340e553827fd8af,320,240,2026-08-01T09:21:24.094000Z,2026-08-01,paper-20260801-b004
train/paper/esp32-cam-2026-08-01T09-21-26-275Z.jpg,train,paper,0,v7_esp32_raw,paper/esp32-cam-2026-08-01T09-21-26-275Z.jpg,7ab465d6737116b2efc14ea74b4430b13744c3e3280adbb21c5c61c69e6b8b35,7ab465d6737116b2efc14ea74b4430b13744c3e3280adbb21c5c61c69e6b8b35,320,240,2026-08-01T09:21:26.275000Z,2026-08-01,paper-20260801-b004
train/paper/esp32-cam-2026-08-01T09-21-32-945Z.jpg,train,paper,0,v7_esp32_raw,paper/esp32-cam-2026-08-01T09-21-32-945Z.jpg,ae828013084f49b7a744734696896ae61b913d626c7c6d55101f557adeb3592a,ae828013084f49b7a744734696896ae61b913d626c7c6d55101f557adeb3592a,320,240,2026-08-01T09:21:32.945000Z,2026-08-01,paper-20260801-b005
train/paper/esp32-cam-2026-08-01T09-21-33-812Z.jpg,train,paper,0,v7_esp32_raw,paper/esp32-cam-2026-08-01T09-21-33-812Z.jpg,b0435577d198e0906201d0df51d06ad0fa55297adfca45656e68cf070b5db24d,b0435577d198e0906201d0df51d06ad0fa55297adfca45656e68cf070b5db24d,320,240,2026-08-01T09:21:33.812000Z,2026-08-01,paper-20260801-b005
train/paper/esp32-cam-2026-08-01T09-21-34-304Z.jpg,train,paper,0,v7_esp32_raw,paper/esp32-cam-2026-08-01T09-21-34-304Z.jpg,f14ab8f2b7ca54506b53423d06184f07f4abfcccf5375ee150d8492f0c039336,f14ab8f2b7ca54506b53423d06184f07f4abfcccf5375ee150d8492f0c039336,320,240,2026-08-01T09:21:34.304000Z,2026-08-01,paper-20260801-b005
