relative_path,split,label,label_id,source,source_split,source_sha256,output_sha256,width,height
train/paper/paper1.jpg,train,paper,0,AI/trashnet/data/dataset-resized/dataset-resized/paper/paper1.jpg,trashnet_train,25063c2320fd0fff4dc04317a7627418695c9970618a48073bb79cb3e542859c,6df3afe632069c7ba04f79b4e72e3906e88719473ae238aa43b223447a2612ca,512,384
train/paper/paper10.jpg,train,paper,0,AI/trashnet/data/dataset-resized/dataset-resized/paper/paper10.jpg,trashnet_train,a662ba456e386945b85e1a6e6f36406e509fabd4ce75345fa3b765ec2815ca81,a42a007fd3c507a7c13c1ce567f902439d2a2be671aa89ecb7db2fd7c5a3262c,512,384
train/paper/paper101.jpg,train,paper,0,AI/trashnet/data/dataset-resized/dataset-resized/paper/paper101.jpg,trashnet_train,1915e10d9a06d378d44b26f76b869e79734e45058d5f6551b6d0c88443a22cfe,6eb09c3aed04438e6202fbc3935bb45269a1acb4c6b5db32679dbc32bd327521,512,384
train/paper/paper102.jpg,train,paper,0,AI/trashnet/data/dataset-resized/dataset-resized/paper/paper102.jpg,trashnet_train,cb153343bdc4f1a6673a443d3f4e8ffc82f4cca6b5c6ef3ac144dd057311fe15,125035ba354eace708e6ffd60da10453e6f22179246cc9f9aeaa383c1236eee3,512,384
train/paper/paper103.jpg,train,paper,0,AI/trashnet/data/dataset-resized/dataset-resized/paper/paper103.jpg,trashnet_train,8afd191f79f0d13ea26a83af9f4bd4f94a38abd161c1f2a400c564520daae03c,5fea57b9a4a9333eec926172c76541bf73cd43a22611f47a4959e963cfe28bb6,512,384
train/paper/paper105.jpg,train,paper,0,AI/trashnet/data/dataset-resized/dataset-resized/paper/paper105.jpg,trashnet_train,943456df0f128c36d5cb2ec83d2d4587b1183dd5ea5ef40532986e1f905cd212,5cb55bb2c3fb4220efef477d24ab85ae7829378dc43864217162fae6c5491033,512,384
train/paper/paper106.jpg,train,paper,0,AI/trashnet/data/dataset-resized/dataset-resized/paper/paper106.jpg,trashnet_train,3a43c3ca2559710cb8710467f46af86d480a6afcfa7064c1b66231cf21331d11,271531a72fe9cf054df162490a7cd630a4502f04031a219315429628f97f5341,512,384
train/paper/paper107.jpg,train,paper,0,AI/trashnet/data/dataset-resized/dataset-resized/paper/paper107.jpg,trashnet_train,f4d494f48881eae84dd7c740c9cd4dd5bf9baa2ff84a9d5266c3f1b990229275,51f863539020e5b2ece5c8b8803178e86d720287d9eb3a84a9189d35c35a6389,512,384
train/paper/paper108.jpg,train,paper,0,AI/trashnet/data/dataset-resized/dataset-resized/paper/paper108.jpg,trashnet_train,b19db665c34279d49210e88485e501283f84c58ed270003e4ee4fb7b0e7e44ea,fb35f948559cfdf91917177577f1f0e08d4e51dc07010e840b7012a2d7a6d9ab,512,384
train/paper/paper11.jpg,train,paper,0,AI/trashnet/data/dataset-resized/dataset-resized/paper/paper11.jpg,trashnet_train,9610c40fea5131a2b5ab4f7c50d61639b12e2e7a673fd277d3b54a9747720bf6,b134a97340f21f0a70ce8721f81e90ca3980229128f7caf9b9fa24c13bfe97dd,512,384
